,5,5,5,5,10,10,10,10,50,50,50,50,100,100,100,100
,balanced_accuracy,accuracy,f1_weighted,roc_auc_ovr_weighted,balanced_accuracy,accuracy,f1_weighted,roc_auc_ovr_weighted,balanced_accuracy,accuracy,f1_weighted,roc_auc_ovr_weighted,balanced_accuracy,accuracy,f1_weighted,roc_auc_ovr_weighted
test throw median,"{'C': 0.0017507285682892384, 'class_weight': 'balanced', 'gamma': 0.00030442871158762404, 'kernel': 'linear'}","{'C': 0.0017507285682892384, 'class_weight': 'balanced', 'gamma': 0.00030442871158762404, 'kernel': 'linear'}","{'C': 0.0017507285682892384, 'class_weight': 'balanced', 'gamma': 0.00030442871158762404, 'kernel': 'linear'}","{'C': 0.0017507285682892384, 'class_weight': 'balanced', 'gamma': 0.00030442871158762404, 'kernel': 'linear'}","{'C': 4.472667259352201, 'class_weight': 'balanced', 'gamma': 0.0001349462673289911, 'kernel': 'rbf'}","{'C': 4.472667259352201, 'class_weight': 'balanced', 'gamma': 0.0001349462673289911, 'kernel': 'rbf'}","{'C': 4.472667259352201, 'class_weight': 'balanced', 'gamma': 0.0001349462673289911, 'kernel': 'rbf'}","{'C': 4.472667259352201, 'class_weight': 'balanced', 'gamma': 0.0001349462673289911, 'kernel': 'rbf'}","{'C': 1.5551791778553947, 'class_weight': 'balanced', 'gamma': 0.00010708489860006669, 'kernel': 'sigmoid'}","{'C': 1.5551791778553947, 'class_weight': 'balanced', 'gamma': 0.00010708489860006669, 'kernel': 'sigmoid'}","{'C': 1.5551791778553947, 'class_weight': 'balanced', 'gamma': 0.00010708489860006669, 'kernel': 'sigmoid'}","{'C': 1.5551791778553947, 'class_weight': 'balanced', 'gamma': 0.00010708489860006669, 'kernel': 'sigmoid'}","{'C': 283.48657980589627, 'class_weight': 'balanced', 'gamma': 0.009295751464309004, 'kernel': 'sigmoid'}","{'C': 283.48657980589627, 'class_weight': 'balanced', 'gamma': 0.009295751464309004, 'kernel': 'sigmoid'}","{'C': 283.48657980589627, 'class_weight': 'balanced', 'gamma': 0.009295751464309004, 'kernel': 'sigmoid'}","{'C': 283.48657980589627, 'class_weight': 'balanced', 'gamma': 0.009295751464309004, 'kernel': 'sigmoid'}"
keep median,"{'C': 1.1324741674478302, 'class_weight': 'balanced', 'gamma': 0.0008224151847460946, 'kernel': 'rbf'}","{'C': 1.1324741674478302, 'class_weight': 'balanced', 'gamma': 0.0008224151847460946, 'kernel': 'rbf'}","{'C': 1.1324741674478302, 'class_weight': 'balanced', 'gamma': 0.0008224151847460946, 'kernel': 'rbf'}","{'C': 1.1324741674478302, 'class_weight': 'balanced', 'gamma': 0.0008224151847460946, 'kernel': 'rbf'}","{'C': 2.296891734958247, 'class_weight': 'balanced', 'gamma': 0.00039593985485514733, 'kernel': 'rbf'}","{'C': 2.296891734958247, 'class_weight': 'balanced', 'gamma': 0.00039593985485514733, 'kernel': 'rbf'}","{'C': 2.296891734958247, 'class_weight': 'balanced', 'gamma': 0.00039593985485514733, 'kernel': 'rbf'}","{'C': 2.296891734958247, 'class_weight': 'balanced', 'gamma': 0.00039593985485514733, 'kernel': 'rbf'}","{'C': 1.8520027649341053, 'class_weight': 'balanced', 'gamma': 0.00037779213818975527, 'kernel': 'poly'}","{'C': 1.8520027649341053, 'class_weight': 'balanced', 'gamma': 0.00037779213818975527, 'kernel': 'poly'}","{'C': 1.8520027649341053, 'class_weight': 'balanced', 'gamma': 0.00037779213818975527, 'kernel': 'poly'}","{'C': 1.8520027649341053, 'class_weight': 'balanced', 'gamma': 0.00037779213818975527, 'kernel': 'poly'}","{'C': 6.744621467834927, 'class_weight': 'balanced', 'gamma': 0.0005023906868404413, 'kernel': 'sigmoid'}","{'C': 6.744621467834927, 'class_weight': 'balanced', 'gamma': 0.0005023906868404413, 'kernel': 'sigmoid'}","{'C': 6.744621467834927, 'class_weight': 'balanced', 'gamma': 0.0005023906868404413, 'kernel': 'sigmoid'}","{'C': 6.744621467834927, 'class_weight': 'balanced', 'gamma': 0.0005023906868404413, 'kernel': 'sigmoid'}"
