,throw median,throw median,throw median,throw median,qcut,qcut,qcut,qcut,median,median,median,median
,balanced_accuracy,accuracy,f1_weighted,roc_auc_ovr_weighted,balanced_accuracy,accuracy,f1_weighted,roc_auc_ovr_weighted,balanced_accuracy,accuracy,f1_weighted,roc_auc_ovr_weighted
5,"{'validation': 0.649, 'oob': 0.6}","{'validation': 0.689, 'oob': 0.667}","{'validation': 0.656, 'oob': 0.656}","{'validation': 0.765, 'oob': 0.64}","{'validation': 0.493, 'oob': 0.472}","{'validation': 0.493, 'oob': 0.4}","{'validation': 0.482, 'oob': 0.403}","{'validation': 0.685, 'oob': 0.519}","{'validation': 0.666, 'oob': 0.5}","{'validation': 0.662, 'oob': 0.467}","{'validation': 0.65, 'oob': 0.457}","{'validation': 0.719, 'oob': 0.444}"
10,"{'validation': 0.615, 'oob': 0.5}","{'validation': 0.663, 'oob': 0.6}","{'validation': 0.616, 'oob': 0.568}","{'validation': 0.727, 'oob': 0.48}","{'validation': 0.431, 'oob': 0.194}","{'validation': 0.431, 'oob': 0.133}","{'validation': 0.423, 'oob': 0.093}","{'validation': 0.631, 'oob': 0.417}","{'validation': 0.639, 'oob': 0.472}","{'validation': 0.635, 'oob': 0.467}","{'validation': 0.619, 'oob': 0.471}","{'validation': 0.678, 'oob': 0.556}"
50,"{'validation': 0.526, 'oob': 0.4}","{'validation': 0.572, 'oob': 0.467}","{'validation': 0.518, 'oob': 0.467}","{'validation': 0.547, 'oob': 0.48}","{'validation': 0.321, 'oob': 0.431}","{'validation': 0.323, 'oob': 0.333}","{'validation': 0.311, 'oob': 0.293}","{'validation': 0.485, 'oob': 0.505}","{'validation': 0.521, 'oob': 0.389}","{'validation': 0.516, 'oob': 0.4}","{'validation': 0.495, 'oob': 0.405}","{'validation': 0.529, 'oob': 0.389}"
100,"{'validation': 0.522, 'oob': 0.4}","{'validation': 0.568, 'oob': 0.533}","{'validation': 0.515, 'oob': 0.464}","{'validation': 0.53, 'oob': 0.48}","{'validation': 0.255, 'oob': 0.306}","{'validation': 0.255, 'oob': 0.2}","{'validation': 0.246, 'oob': 0.137}","{'validation': 0.413, 'oob': 0.497}","{'validation': 0.475, 'oob': 0.472}","{'validation': 0.469, 'oob': 0.467}","{'validation': 0.436, 'oob': 0.471}","{'validation': 0.47, 'oob': 0.426}"
