,5,5,5,5,10,10,10,10,50,50,50,50,100,100,100,100
,balanced_accuracy,accuracy,f1_weighted,roc_auc_ovr_weighted,balanced_accuracy,accuracy,f1_weighted,roc_auc_ovr_weighted,balanced_accuracy,accuracy,f1_weighted,roc_auc_ovr_weighted,balanced_accuracy,accuracy,f1_weighted,roc_auc_ovr_weighted
test throw median,"{'test': 0.389, 'train': 0.841}","{'test': 0.381, 'train': 0.832}","{'test': 0.381, 'train': 0.833}","{'test': 0.435, 'train': 0.925}","{'test': 0.513, 'train': 0.85}","{'test': 0.545, 'train': 0.845}","{'test': 0.533, 'train': 0.847}","{'test': 0.462, 'train': 0.937}","{'test': 0.415, 'train': 0.761}","{'test': 0.391, 'train': 0.728}","{'test': 0.37, 'train': 0.722}","{'test': 0.554, 'train': 0.073}","{'test': 0.585, 'train': 0.532}","{'test': 0.591, 'train': 0.531}","{'test': 0.593, 'train': 0.535}","{'test': 0.368, 'train': 0.47}"
keep median,"{'test': 0.625, 'train': 0.856}","{'test': 0.679, 'train': 0.856}","{'test': 0.684, 'train': 0.855}","{'test': 0.669, 'train': 0.937}","{'test': 0.536, 'train': 0.922}","{'test': 0.536, 'train': 0.926}","{'test': 0.53, 'train': 0.926}","{'test': 0.52, 'train': 0.972}","{'test': 0.489, 'train': 0.992}","{'test': 0.571, 'train': 0.991}","{'test': 0.539, 'train': 0.991}","{'test': 0.644, 'train': 1.0}","{'test': 0.429, 'train': 0.958}","{'test': 0.429, 'train': 0.959}","{'test': 0.429, 'train': 0.959}","{'test': 0.495, 'train': 0.039}"
