,Classifier,Target,Choice,Edge,Feature Selection,Type of feature,Percentage,Refit Metric,Num_nodes,Num edges,% Positive edges,ROI_strl_thresh,train_balanced_accuracy,train_accuracy,train_f1_weighted,train_roc_auc_ovr_weighted,test_balanced_accuracy,test_accuracy,test_f1_weighted,test_roc_auc_ovr_weighted
34,SVC,Agreeableness,test throw median,pearson,solver,num_streamlines,5.938,balanced_accuracy,30,212,100.0,0.006,98.265,98.319,97.959,99.913,56.034,57.143,48.78,55.0
35,SVC,Neuroticism,test throw median,pearson,solver,num_streamlines,6.303,balanced_accuracy,30,225,100.0,0.006,100.0,100.0,100.0,100.0,51.338,51.02,50.0,49.331
36,SVC,Conscientiousness,test throw median,pearson,solver,mean_FA,6.359,balanced_accuracy,30,227,100.0,0.006,99.138,99.091,99.048,99.934,47.857,46.939,35.0,47.959
37,SVC,Neuroticism,test throw median,pearson,solver,mean_FA,6.303,balanced_accuracy,30,225,100.0,0.005,64.091,63.559,63.866,35.388,57.107,57.143,58.824,41.973
38,SVC,Openness,test throw median,pearson,solver,mean_FA,6.246,balanced_accuracy,30,223,100.0,0.005,64.903,66.071,58.696,71.226,52.64,50.98,44.444,51.553
39,SVC,Neuroticism,test throw median,pearson,solver,mean_FA,6.583,balanced_accuracy,30,235,100.0,0.006,60.532,60.169,59.829,66.233,59.783,59.184,56.522,59.365
40,SVC,Openness,test throw median,pearson,solver,mean_FA,6.246,balanced_accuracy,30,223,100.0,0.006,75.355,76.786,70.455,85.097,47.283,45.098,33.333,52.64
41,SVC,Neuroticism,test throw median,pearson,solver,mean_strl,6.583,balanced_accuracy,30,235,100.0,0.006,60.532,60.169,59.829,66.233,59.783,59.184,56.522,59.365
42,SVC,Neuroticism,test throw median,pearson,solver,mean_strl,5.77,balanced_accuracy,30,206,100.0,0.01,66.811,65.254,69.173,30.816,57.776,59.184,67.742,41.722
43,SVC,Conscientiousness,test throw median,pearson,solver,num_streamlines,5.602,balanced_accuracy,30,200,100.0,0.01,100.0,100.0,100.0,0.0,45.0,48.98,28.571,60.408
44,SVC,Agreeableness,test throw median,pearson,solver,mean_strl,5.574,balanced_accuracy,25,199,100.0,0.005,95.51,95.798,94.845,99.621,60.259,61.224,53.659,56.897
45,SVC,Agreeableness,test throw median,pearson,solver,mean_FA,5.546,balanced_accuracy,30,198,100.0,0.01,100.0,100.0,100.0,0.0,40.259,44.898,18.182,61.724
46,SVC,Neuroticism,test throw median,pearson,solver,mean_FA,5.49,balanced_accuracy,30,196,100.0,0.01,66.088,65.254,66.667,35.012,56.355,57.143,63.158,43.813
47,SVC,Conscientiousness,test throw median,pearson,solver,mean_strl,5.462,balanced_accuracy,30,195,100.0,0.01,58.057,58.182,55.769,54.924,48.571,51.02,33.333,49.796
48,SVC,Conscientiousness,test throw median,pearson,solver,mean_strl,5.434,balanced_accuracy,25,194,100.0,0.005,100.0,100.0,100.0,100.0,60.0,55.102,47.619,64.49
49,SVC,Agreeableness,test throw median,pearson,solver,mean_strl,5.406,balanced_accuracy,30,193,100.0,0.01,100.0,100.0,100.0,100.0,59.31,59.184,54.545,65.69
50,SVC,Extraversion,test throw median,pearson,solver,mean_strl,5.378,balanced_accuracy,25,192,100.0,0.005,62.424,62.712,59.259,63.636,49.273,48.936,47.826,46.545
51,SVC,Extraversion,test throw median,pearson,solver,mean_FA,5.35,balanced_accuracy,25,191,100.0,0.005,58.571,58.475,57.391,37.864,44.182,44.681,50.0,56.909
52,SVC,Openness,test throw median,pearson,solver,mean_FA,5.322,balanced_accuracy,25,190,100.0,0.005,64.71,66.071,57.778,71.774,56.211,54.902,51.064,54.27
53,SVC,Extraversion,test throw median,pearson,solver,mean_strl,5.294,balanced_accuracy,30,189,100.0,0.01,61.861,61.864,60.177,36.941,45.0,44.681,43.478,50.455
54,SVC,Openness,test throw median,pearson,solver,mean_FA,5.182,balanced_accuracy,25,185,100.0,0.006,77.323,77.679,74.747,83.387,49.301,49.02,50.0,52.329
55,SVC,Openness,test throw median,pearson,solver,mean_strl,5.21,balanced_accuracy,25,186,100.0,0.005,66.935,68.75,58.824,72.387,50.854,49.02,40.909,54.969
56,SVC,Extraversion,test throw median,pearson,solver,mean_FA,5.378,balanced_accuracy,25,192,100.0,0.006,59.25,59.322,57.143,63.636,42.455,42.553,44.898,48.364
57,SVC,Extraversion,test throw median,pearson,solver,mean_strl,5.378,balanced_accuracy,25,192,100.0,0.006,59.25,59.322,57.143,63.636,42.455,42.553,44.898,48.364
58,SVC,Openness,test throw median,pearson,solver,num_streamlines,5.098,balanced_accuracy,25,182,100.0,0.006,100.0,100.0,100.0,100.0,51.475,50.98,50.98,49.224
59,SVC,Openness,test throw median,pearson,solver,mean_strl,5.182,balanced_accuracy,25,185,100.0,0.006,77.323,77.679,74.747,83.419,49.301,49.02,50.0,52.329
60,SVC,Openness,test throw median,pearson,solver,num_streamlines,5.042,balanced_accuracy,30,180,100.0,0.01,50.0,44.643,61.728,0.29,50.0,54.902,70.886,49.845
61,SVC,Agreeableness,test throw median,pearson,solver,mean_FA,5.014,balanced_accuracy,25,179,100.0,0.005,100.0,100.0,100.0,0.0,53.534,55.102,45.0,49.138
62,SVC,Agreeableness,test throw median,pearson,solver,num_streamlines,4.51,balanced_accuracy,25,161,100.0,0.006,94.388,94.118,93.069,97.449,52.586,53.061,46.512,51.897
63,SVC,Openness,test throw median,pearson,solver,mean_strl,4.958,balanced_accuracy,20,177,100.0,0.001,92.581,92.857,91.837,89.71,51.863,50.98,48.98,48.68
64,SVC,Neuroticism,test throw median,pearson,solver,mean_FA,4.902,balanced_accuracy,25,175,100.0,0.005,62.963,61.864,64.567,67.969,50.334,51.02,57.143,57.943
65,SVC,Neuroticism,test throw median,pearson,solver,mean_FA,4.874,balanced_accuracy,20,174,100.0,0.001,58.044,57.627,57.627,64.742,55.184,55.102,56.0,55.184
66,SVC,Neuroticism,test throw median,pearson,solver,mean_FA,5.154,balanced_accuracy,25,184,100.0,0.006,60.041,59.322,60.656,37.413,53.01,53.061,54.902,42.642
67,SVC,Openness,test throw median,pearson,solver,mean_FA,4.818,balanced_accuracy,30,172,100.0,0.01,63.29,64.286,57.447,71.581,46.118,45.098,41.667,51.63
68,SVC,Conscientiousness,test throw median,pearson,solver,num_streamlines,4.79,balanced_accuracy,20,171,100.0,0.001,100.0,100.0,100.0,100.0,50.0,53.061,34.286,49.592
69,SVC,Openness,test throw median,pearson,solver,mean_FA,4.762,balanced_accuracy,20,170,100.0,0.001,64.097,65.179,58.065,70.065,56.211,54.902,51.064,52.95
70,SVC,Agreeableness,test throw median,pearson,solver,mean_FA,4.986,balanced_accuracy,25,178,100.0,0.006,100.0,100.0,100.0,100.0,46.81,48.98,35.897,53.103
71,SVC,Conscientiousness,test throw median,pearson,solver,mean_FA,4.762,balanced_accuracy,25,170,100.0,0.006,89.821,90.0,89.109,91.578,55.0,57.143,40.0,56.327
72,SVC,Agreeableness,test throw median,pearson,solver,num_streamlines,4.622,balanced_accuracy,25,165,100.0,0.005,98.98,99.16,98.969,99.913,54.31,55.102,47.619,51.207
73,SVC,Agreeableness,test throw median,pearson,solver,mean_FA,4.594,balanced_accuracy,20,164,100.0,0.001,50.51,52.941,39.13,48.134,36.466,36.735,31.111,35.259
