name,model_type,metric_type,metric_value,train_time
1_Baseline,Baseline,logloss,0.47933049387015586,1.53
2_DecisionTree,Decision Tree,logloss,2.1960270110186535,24.06
3_Default_Xgboost,Xgboost,logloss,0.20091969054192305,335.61
4_Default_NeuralNetwork,Neural Network,logloss,0.4195150315043919,17.45
5_Default_RandomForest,Random Forest,logloss,0.27381050187032846,83.28
Ensemble,Ensemble,logloss,0.20091969054192305,0.4
