feature,mean_importance
1767,-0.003919683645157312
410,-0.003918390047549858
1610,-0.0039022864720659302
1195,-0.0036815179174742975
2014,-0.003324681014305708
795,-0.0032782729711666736
768,-0.003259038202572573
1341,-0.0032179014009605877
1335,-0.0032113183336535565
823,-0.003126829054097768
831,-0.003075953519205443
2547,-0.00292490646364717
212,-0.0029108550818511382
821,-0.0028983206755735734
935,-0.002863837509055156
818,-0.002810588637341194
362,-0.002810167456848078
1015,-0.002772980327445762
71,-0.002696517093744888
132,-0.0026770465524327824
376,-0.0026547845260063265
1185,-0.002559870662490027
623,-0.0025364313043135913
2183,-0.0025094162862034806
927,-0.0024988970692720546
1190,-0.002453548322234578
59,-0.002443608586489854
859,-0.0024308791479412672
74,-0.0024059731588844226
75,-0.0023694227965576076
405,-0.0023571349441551927
1328,-0.0023528398789596115
1169,-0.0023269083053795714
402,-0.0023174007989301137
2079,-0.0023164221180527744
396,-0.0022963814136699235
280,-0.0022807231554737182
1177,-0.0022802662053230784
1349,-0.0022682463570364076
1336,-0.002264402221635786
1242,-0.0022257343970361943
1348,-0.002214195088301174
925,-0.0022133084721021267
291,-0.002208493690447699
672,-0.002194416719671466
415,-0.0021892119219090733
344,-0.0021193826932478952
406,-0.00210108690573938
1342,-0.0020945897184855623
1351,-0.002084762497963644
711,-0.002005198804995445
1174,-0.001995504576107354
2546,-0.00199473701066315
1193,-0.001991617287008596
1245,-0.001985813597524688
571,-0.0019732687369878542
413,-0.001971300989103786
1192,-0.0019361656327060773
58,-0.0019274986111185942
1181,-0.0019229354389861397
514,-0.0019229285733672996
707,-0.0019132256457636166
1611,-0.0019123643055518392
391,-0.001907548702993911
1346,-0.0018921501478946334
829,-0.0018869559313555383
603,-0.0018661441735080332
306,-0.0018616275464719222
384,-0.0018456806423382544
407,-0.0018384864597732475
103,-0.0018376533938797123
333,-0.0018372224607171028
2287,-0.001811123360563438
933,-0.00178299905034065
878,-0.0017723152183117374
1176,-0.0017631858767068742
1223,-0.0017364352004066053
877,-0.0017362969751424484
68,-0.0017299596297301266
414,-0.0017249525099958696
343,-0.001712652030716555
724,-0.001705855571262438
1646,-0.0017051665781057878
1030,-0.0016843866477689983
259,-0.0016653305801773155
1228,-0.001658263200225396
342,-0.001636016221266845
355,-0.0016225012448167764
397,-0.0016182935220945605
244,-0.001617305233251576
665,-0.0015994235564339432
408,-0.0015950339125136881
1337,-0.0015899666533287671
1450,-0.0015734924629985491
1715,-0.0015411486231997507
258,-0.001534574831138258
1765,-0.0015297029612931334
77,-0.001509320465272801
412,-0.0015005908464755025
361,-0.0014989402734176815
708,-0.0014818433232041905
817,-0.0014500742572261416
1238,-0.00143927176363986
360,-0.0014307055394300106
238,-0.0014251229307090107
1182,-0.0014156950990131256
1866,-0.0014140230265399568
356,-0.0014104195599461966
394,-0.0014091938021767892
359,-0.0014009408093408893
1091,-0.0014006506322854274
618,-0.0013987196890789088
1186,-0.0013890549402704733
380,-0.0013838650754205983
339,-0.0013808107751993703
1171,-0.001375788535182998
318,-0.0013697627674068014
1331,-0.001351452152971644
779,-0.001332145989561362
662,-0.0013253597370052606
2495,-0.00132522242466655
1187,-0.0013251825555126828
237,-0.0013067188385663454
215,-0.001285321565315789
753,-0.0012848883066329364
828,-0.001283498838242758
2131,-0.0012721408017346448
265,-0.0012676430677118766
450,-0.0012591437931626203
150,-0.001248672333177625
2443,-0.0012475720387033929
1813,-0.001243623812270256
1437,-0.0012326496351428573
922,-0.0012287499403479617
257,-0.0012287035336201457
131,-0.0012076315521720171
727,-0.0012057080872003522
2440,-0.001183349779754428
462,-0.001181022558402378
2173,-0.0011794808820152158
401,-0.0011771708735512254
1908,-0.0011717345865471574
256,-0.0011709412745617986
1339,-0.0011696876744473061
1343,-0.0011629294802604994
1344,-0.0011536301293306405
1812,-0.0011414736816321657
1062,-0.0011312168495898778
188,-0.001129370481101477
252,-0.001126602913568453
79,-0.001125149892904387
2651,-0.0011207950094759612
1296,-0.0011134546571811455
1643,-0.0011092446154015944
447,-0.001108952962457299
85,-0.0011055542204308044
2024,-0.0010813291392102631
354,-0.0010738398981615215
1868,-0.0010733345136114125
1446,-0.001066387960319193
106,-0.0010634000516945518
89,-0.0010597814528613859
403,-0.0010583618231741366
432,-0.0010550804787553437
149,-0.001046602360426574
254,-0.0010382575616857182
1088,-0.0010372575213741131
345,-0.0010313060192021829
569,-0.0010304315352630989
592,-0.0010210982104475242
980,-0.0010179746420033498
1016,-0.0010178528246090669
46,-0.0010152982515421517
2598,-0.001009494764982699
2338,-0.0010080495249618405
813,-0.001007958991943636
1332,-0.0010066202674172576
1333,-0.0010054367784076757
436,-0.0010047419730536133
744,-0.0010042698364830626
932,-0.0009955148329962248
1067,-0.0009910210525367446
1026,-0.0009891577958074272
1871,-0.0009852631213053131
1431,-0.0009809485993772626
1246,-0.0009767533933686568
349,-0.0009713662928039879
564,-0.0009707316994477022
545,-0.0009674323023546871
305,-0.00096515618126356
1327,-0.0009648192525429811
1347,-0.0009636549403985173
709,-0.000962463117977197
503,-0.0009610129464828643
1239,-0.0009597982373100056
41,-0.0009594371812884916
1870,-0.0009585698524264164
1766,-0.0009538903600380122
874,-0.0009532497100848469
399,-0.0009451211589175168
717,-0.0009433370764033056
609,-0.0009391602206303307
556,-0.0009316307751199293
518,-0.0009271826847368936
1658,-0.0009214943089156824
1330,-0.0009113511682222297
1022,-0.0009101221233590917
1501,-0.0009065192375305564
882,-0.0009044805879879214
713,-0.0009000975069203166
921,-0.0008991910011324378
967,-0.0008979732951810316
435,-0.0008949973665956623
1063,-0.0008911236676343193
169,-0.0008824272976683089
461,-0.0008792819505600624
1170,-0.0008783008259475977
1275,-0.0008768506007803323
1143,-0.0008677910643729913
1194,-0.0008673746374490588
114,-0.0008641245606220372
1402,-0.0008532198432606109
2234,-0.0008501791868676944
2021,-0.0008470578801225148
2334,-0.0008466932847292274
2130,-0.0008436695941628769
674,-0.0008430075534925918
1455,-0.000841505742374804
1656,-0.0008404413095400298
2232,-0.000839983297746627
1124,-0.0008396522947524021
51,-0.0008388953724562609
1506,-0.0008291673024523383
335,-0.0008238423233889903
513,-0.0008206702508198549
673,-0.0008083078156978952
250,-0.0008059520122811525
1454,-0.0008054906891436398
129,-0.0007998264586743687
725,-0.0007958998929562977
1029,-0.0007921130774201423
596,-0.0007863471346199913
617,-0.0007855950600472617
675,-0.0007855482516462287
443,-0.0007821760452845217
604,-0.000781613884242327
2072,-0.0007810088245758906
2076,-0.0007806122641182522
719,-0.0007768844047727596
230,-0.0007751728825527993
363,-0.0007727299035487634
1281,-0.0007726768734806711
2180,-0.0007595237032958169
1350,-0.0007537772883238425
1274,-0.0007536958602619825
1229,-0.000752682298355345
100,-0.0007517779785091827
1237,-0.0007501527418346421
1443,-0.0007476394174936063
659,-0.000745155354764948
1039,-0.0007450840025077677
241,-0.0007446751733007573
31,-0.0007431357127616667
332,-0.0007417381999069606
248,-0.0007378824597562783
1025,-0.0007372737328014134
82,-0.0007365985643376982
102,-0.0007353010055507591
1438,-0.0007333948109792488
2494,-0.0007325541130943858
1168,-0.0007236937601058036
986,-0.000723500194850224
1286,-0.000723363251878395
1865,-0.0007165641555559321
1189,-0.0007157634225180787
669,-0.0007133154678711229
641,-0.000710409089607189
620,-0.0007072267241306718
1662,-0.0007042223911093104
1814,-0.0007039486607736678
2026,-0.0007026396670081425
310,-0.0006929353790145476
