,Classifier,Target,Choice,Edge,Feature Selection,Type of feature,Percentage,Refit Metric,Node_weights,Factor,Subtracted_value,Num edges,% Positive edges,train_balanced_accuracy,train_accuracy,train_f1_weighted,train_roc_auc_ovr_weighted,test_balanced_accuracy,test_accuracy,test_f1_weighted,test_roc_auc_ovr_weighted
33,SVC,Neuroticism,test throw median,num_streamlines,solver,pearson,29.439775910364144,f1_weighted,avg,100,10,1051,100.0,100.0,100.0,100.0,100.0,50.836,51.02,53.846,45.819
34,SVC,Neuroticism,test throw median,mean_FA,solver,pearson,19.439775910364144,f1_weighted,avg,100,10,694,100.0,100.0,100.0,100.0,100.0,46.739,46.939,50.0,40.134
35,SVC,Neuroticism,test throw median,mean_strl,solver,pearson,19.439775910364144,f1_weighted,avg,100,10,694,100.0,100.0,100.0,100.0,100.0,46.739,46.939,50.0,40.134
36,SVC,Openness,test throw median,mean_strl,solver,pearson,38.57142857142857,f1_weighted,avg,100,10,1377,100.0,100.0,100.0,100.0,100.0,53.261,52.941,53.846,53.571
37,SVC,Openness,test throw median,num_streamlines,solver,pearson,20.50420168067227,f1_weighted,avg,100,10,732,100.0,89.129,88.393,88.073,95.323,47.127,47.059,49.057,49.534
38,SVC,Openness,test throw median,mean_FA,solver,pearson,38.57142857142857,f1_weighted,avg,100,10,1377,100.0,100.0,100.0,100.0,100.0,53.261,52.941,53.846,53.571
39,SVC,Agreeableness,test throw median,num_streamlines,solver,pearson,17.92717086834734,roc_auc_ovr_weighted,avg,100,10,640,100.0,97.959,98.319,97.917,99.942,51.207,55.102,35.294,45.69
40,SVC,Agreeableness,test throw median,mean_strl,solver,pearson,6.2745098039215685,roc_auc_ovr_weighted,avg,100,10,224,100.0,95.408,94.958,94.118,99.621,51.81,53.061,43.902,45.0
41,SVC,Conscientiousness,test throw median,num_streamlines,solver,pearson,4.201680672268908,roc_auc_ovr_weighted,avg,100,10,150,100.0,99.138,99.091,99.048,99.901,52.143,53.061,37.838,47.551
42,SVC,Conscientiousness,test throw median,mean_strl,solver,pearson,18.54341736694678,roc_auc_ovr_weighted,avg,100,10,662,100.0,100.0,100.0,100.0,100.0,42.143,51.02,20.0,31.224
43,SVC,Conscientiousness,test throw median,mean_FA,solver,pearson,18.54341736694678,roc_auc_ovr_weighted,avg,100,10,662,100.0,100.0,100.0,100.0,100.0,42.143,51.02,20.0,31.224
44,SVC,Extraversion,test throw median,mean_FA,solver,pearson,1.5686274509803921,roc_auc_ovr_weighted,avg,100,10,56,100.0,80.476,80.508,79.279,92.02,53.545,53.191,52.174,59.545
45,SVC,Extraversion,test throw median,num_streamlines,solver,pearson,17.563025210084035,roc_auc_ovr_weighted,avg,100,10,627,100.0,98.297,98.305,98.182,99.654,42.182,42.553,47.059,41.273
46,SVC,Neuroticism,test throw median,num_streamlines,solver,pearson,29.439775910364144,roc_auc_ovr_weighted,avg,100,10,1051,100.0,100.0,100.0,100.0,100.0,50.836,51.02,53.846,45.819
47,SVC,Neuroticism,test throw median,mean_FA,solver,pearson,19.439775910364144,roc_auc_ovr_weighted,avg,100,10,694,100.0,100.0,100.0,100.0,100.0,46.739,46.939,50.0,40.134
48,SVC,Neuroticism,test throw median,mean_strl,solver,pearson,19.439775910364144,roc_auc_ovr_weighted,avg,100,10,694,100.0,100.0,100.0,100.0,100.0,46.739,46.939,50.0,40.134
49,SVC,Openness,test throw median,mean_strl,solver,pearson,38.57142857142857,roc_auc_ovr_weighted,avg,100,10,1377,100.0,100.0,100.0,100.0,100.0,53.261,52.941,53.846,53.571
50,SVC,Openness,test throw median,num_streamlines,solver,pearson,20.50420168067227,roc_auc_ovr_weighted,avg,100,10,732,100.0,95.774,95.536,95.146,99.71,47.516,47.059,47.059,51.553
51,SVC,Openness,test throw median,mean_FA,solver,pearson,38.57142857142857,roc_auc_ovr_weighted,avg,100,10,1377,100.0,100.0,100.0,100.0,100.0,53.261,52.941,53.846,53.571
52,SVC,Agreeableness,keep median,num_streamlines,solver,pearson,17.92717086834734,balanced_accuracy,avg,100,10,640,100.0,100.0,100.0,100.0,100.0,50.952,53.226,38.298,53.439
53,SVC,Agreeableness,keep median,mean_strl,solver,pearson,6.2745098039215685,balanced_accuracy,avg,100,10,224,100.0,100.0,100.0,100.0,100.0,42.54,45.161,26.087,49.947
54,SVC,Conscientiousness,keep median,num_streamlines,solver,pearson,4.201680672268908,balanced_accuracy,avg,100,10,150,100.0,100.0,100.0,100.0,100.0,53.399,53.226,47.273,56.36
55,SVC,Conscientiousness,keep median,mean_strl,solver,pearson,18.54341736694678,balanced_accuracy,avg,100,10,662,100.0,100.0,100.0,100.0,100.0,44.079,48.387,27.273,33.443
56,SVC,Conscientiousness,keep median,mean_FA,solver,pearson,18.54341736694678,balanced_accuracy,avg,100,10,662,100.0,100.0,100.0,100.0,100.0,44.079,48.387,27.273,33.388
57,SVC,Extraversion,keep median,mean_FA,solver,pearson,1.5686274509803921,balanced_accuracy,avg,100,10,56,100.0,80.476,80.508,79.279,92.006,52.063,51.613,53.125,43.016
58,SVC,Extraversion,keep median,num_streamlines,solver,pearson,17.563025210084035,balanced_accuracy,avg,100,10,627,100.0,98.297,98.305,98.182,99.654,47.937,48.387,52.941,49.841
59,SVC,Neuroticism,keep median,num_streamlines,solver,pearson,29.439775910364144,balanced_accuracy,avg,100,10,1051,100.0,100.0,100.0,100.0,100.0,56.165,56.452,59.701,51.515
60,SVC,Neuroticism,keep median,mean_FA,solver,pearson,19.439775910364144,balanced_accuracy,avg,100,10,694,100.0,100.0,100.0,100.0,100.0,41.693,41.935,45.455,38.349
61,SVC,Neuroticism,keep median,mean_strl,solver,pearson,19.439775910364144,balanced_accuracy,avg,100,10,694,100.0,100.0,100.0,100.0,100.0,41.693,41.935,45.455,38.349
62,SVC,Openness,keep median,mean_strl,solver,pearson,38.57142857142857,balanced_accuracy,avg,100,10,1377,100.0,100.0,100.0,100.0,100.0,43.626,43.548,44.444,40.648
63,SVC,Openness,keep median,num_streamlines,solver,pearson,20.50420168067227,balanced_accuracy,avg,100,10,732,100.0,97.581,97.321,97.087,99.968,50.993,51.613,57.143,46.082
64,SVC,Openness,keep median,mean_FA,solver,pearson,38.57142857142857,balanced_accuracy,avg,100,10,1377,100.0,100.0,100.0,100.0,100.0,43.626,43.548,44.444,40.648
