,Unnamed: 0,Classifier,Target,Choice,Edge,Feature Selection,Type of feature,Percentage,Refit Metric,Num edges,train_balanced_accuracy,train_accuracy,train_f1_weighted,train_roc_auc_ovr_weighted,test_balanced_accuracy,test_accuracy,test_f1_weighted,test_roc_auc_ovr_weighted
38,38,RF,Gender,random,fscores,solver,mean_strl,5.0489999999999995,balanced_accuracy,176,92.15799999999999,92.90799999999999,94.118,98.98200000000001,63.025,62.903,61.016999999999996,70.903
39,39,RF,Gender,random,t_test,solver,num_streamlines,4.188,balanced_accuracy,146,100.0,100.0,100.0,100.0,80.252,79.032,80.0,89.706
40,40,RF,Gender,random,fscores,solver,num_streamlines,3.93,balanced_accuracy,137,100.0,100.0,100.0,100.0,70.798,69.355,71.642,86.765
41,41,RF,Gender,random,t_test,solver,mean_FA,2.926,balanced_accuracy,102,96.811,97.163,97.619,99.93799999999999,61.239,61.29,58.621,70.58800000000001
42,42,RF,Gender,random,fscores,solver,mean_strl,2.926,balanced_accuracy,102,100.0,100.0,100.0,100.0,60.398999999999994,59.677,60.317,70.32600000000001
43,43,RF,Gender,random,t_test,solver,num_streamlines,2.467,balanced_accuracy,86,100.0,100.0,100.0,100.0,68.382,67.742,67.742,82.66799999999999
44,44,RF,Gender,random,fscores,solver,num_streamlines,2.352,balanced_accuracy,82,100.0,100.0,100.0,100.0,75.21,74.194,75.0,84.874
45,45,RF,Gender,random,t_test,solver,mean_FA,1.291,balanced_accuracy,45,98.536,98.58200000000001,98.795,99.958,63.34,62.903,62.295,68.382
46,46,RF,Gender,random,fscores,solver,mean_FA,1.262,balanced_accuracy,44,100.0,100.0,100.0,100.0,56.828,56.452,55.738,68.382
47,47,RF,Gender,random,t_test,solver,num_streamlines,1.205,balanced_accuracy,42,100.0,100.0,100.0,100.0,66.597,66.12899999999999,65.574,81.828
48,48,RF,Gender,random,fscores,solver,num_streamlines,1.147,balanced_accuracy,40,100.0,100.0,100.0,100.0,69.328,67.742,70.58800000000001,81.93299999999999
49,49,RF,Gender,random,t_test,solver,mean_FA,0.287,balanced_accuracy,10,100.0,100.0,100.0,100.0,69.538,69.355,67.797,69.748
50,50,MLP,Gender,random,t_test,solver,num_streamlines,9.036,balanced_accuracy,315,100.0,100.0,100.0,100.0,84.03399999999999,83.87100000000001,82.759,94.118
51,51,MLP,Gender,random,t_test,solver,mean_strl,8.749,balanced_accuracy,305,100.0,100.0,100.0,100.0,78.992,79.032,77.193,84.244
52,52,MLP,Gender,random,fscores,solver,mean_FA,8.749,balanced_accuracy,305,100.0,100.0,100.0,100.0,69.748,70.968,64.0,75.735
53,53,MLP,Gender,random,t_test,solver,mean_FA,8.749,balanced_accuracy,305,100.0,100.0,100.0,100.0,74.265,74.194,72.414,82.353
54,54,MLP,Gender,random,fscores,solver,mean_strl,8.749,balanced_accuracy,305,100.0,100.0,100.0,100.0,73.00399999999999,74.194,68.0,80.672
55,55,MLP,Gender,random,fscores,solver,num_streamlines,8.405,balanced_accuracy,293,100.0,100.0,100.0,100.0,76.681,75.806,76.19,92.647
56,56,MLP,Gender,random,t_test,solver,mean_strl,6.627000000000001,balanced_accuracy,231,88.367,89.36200000000001,91.228,95.20100000000001,68.067,67.742,66.667,78.15100000000001
57,57,MLP,Gender,random,t_test,solver,mean_FA,6.627000000000001,balanced_accuracy,231,86.041,87.234,89.535,93.29,58.613,58.065,58.065,67.857
58,58,MLP,Gender,random,t_test,solver,num_streamlines,6.54,balanced_accuracy,228,100.0,100.0,100.0,100.0,84.664,83.87100000000001,83.87100000000001,92.227
59,59,MLP,Gender,random,fscores,solver,mean_strl,6.627000000000001,balanced_accuracy,231,100.0,100.0,100.0,100.0,71.53399999999999,72.581,66.667,79.727
60,60,MLP,Gender,random,fscores,solver,num_streamlines,6.11,balanced_accuracy,213,100.0,100.0,100.0,100.0,89.07600000000001,88.71,88.13600000000001,94.74799999999999
61,61,MLP,Gender,random,t_test,solver,mean_FA,5.0489999999999995,balanced_accuracy,176,86.3,87.234,89.412,93.64399999999999,64.49600000000001,64.516,62.068999999999996,75.21
