,Classifier,Target,Choice,Edge,Feature Selection,Type of feature,Percentage,Refit Metric,train_balanced_accuracy,train_accuracy,train_f1_weighted,train_roc_auc_ovr_weighted,test_balanced_accuracy,test_accuracy,test_f1_weighted,test_roc_auc_ovr_weighted
35,SVC,Conscientiousness,test throw median,mean_FA,baseline,t_test,2,balanced_accuracy,100.0,100.0,100.0,0.0,55.714,73.469,23.529,54.082
36,SVC,Conscientiousness,test throw median,mean_FA,baseline,t_test,5,balanced_accuracy,100.0,100.0,100.0,0.0,55.714,73.469,23.529,54.082
37,SVC,Conscientiousness,test throw median,mean_FA,baseline,t_test,10,balanced_accuracy,100.0,100.0,100.0,0.0,55.714,73.469,23.529,54.082
38,SVC,Conscientiousness,test throw median,mean_FA,baseline,t_test,50,balanced_accuracy,100.0,100.0,100.0,0.0,55.714,73.469,23.529,54.082
39,SVC,Conscientiousness,test throw median,mean_FA,baseline,t_test,100,balanced_accuracy,100.0,100.0,100.0,0.0,55.714,73.469,23.529,54.082
40,SVC,Conscientiousness,test throw median,mean_FA,baseline,pearson,2,balanced_accuracy,90.782,90.909,90.196,95.656,59.286,63.265,43.75,47.959
41,SVC,Conscientiousness,test throw median,mean_FA,baseline,pearson,5,balanced_accuracy,73.044,72.727,73.214,81.996,40.0,44.898,22.857,45.102
42,SVC,Conscientiousness,test throw median,mean_FA,baseline,pearson,10,balanced_accuracy,62.898,64.545,46.575,63.229,52.143,65.306,26.087,52.551
43,SVC,Conscientiousness,test throw median,mean_FA,baseline,pearson,50,balanced_accuracy,62.898,64.545,46.575,63.229,52.143,65.306,26.087,52.551
44,SVC,Conscientiousness,test throw median,mean_FA,baseline,pearson,100,balanced_accuracy,62.898,64.545,46.575,63.229,52.143,65.306,26.087,52.551
45,SVC,Conscientiousness,test throw median,num_streamlines,baseline,t_test,2,balanced_accuracy,89.058,89.091,88.462,83.886,40.0,44.898,22.857,38.163
46,SVC,Conscientiousness,test throw median,num_streamlines,baseline,t_test,5,balanced_accuracy,89.058,89.091,88.462,16.147,40.0,44.898,22.857,62.041
47,SVC,Conscientiousness,test throw median,num_streamlines,baseline,t_test,10,balanced_accuracy,89.058,89.091,88.462,16.081,40.0,44.898,22.857,61.837
48,SVC,Conscientiousness,test throw median,num_streamlines,baseline,t_test,50,balanced_accuracy,89.058,89.091,88.462,83.869,40.0,44.898,22.857,38.265
49,SVC,Conscientiousness,test throw median,num_streamlines,baseline,t_test,100,balanced_accuracy,89.058,89.091,88.462,16.031,40.0,44.898,22.857,62.041
50,SVC,Extraversion,test throw median,mean_FA,baseline,pearson,2,balanced_accuracy,90.231,90.678,89.32,92.987,41.0,40.426,36.364,39.455
51,SVC,Extraversion,test throw median,mean_FA,baseline,pearson,5,balanced_accuracy,70.938,71.186,68.519,74.82,44.727,44.681,45.833,52.636
52,SVC,Extraversion,test throw median,mean_FA,baseline,pearson,10,balanced_accuracy,65.253,66.102,59.184,65.079,39.0,38.298,32.558,37.273
53,SVC,Extraversion,test throw median,mean_FA,baseline,pearson,50,balanced_accuracy,65.253,66.102,59.184,65.166,39.0,38.298,32.558,37.273
54,SVC,Extraversion,test throw median,mean_FA,baseline,pearson,100,balanced_accuracy,65.253,66.102,59.184,65.166,39.0,38.298,32.558,37.273
55,SVC,Extraversion,test throw median,num_streamlines,baseline,pearson,2,balanced_accuracy,94.545,94.915,94.231,99.25,38.182,38.298,40.816,38.364
56,SVC,Extraversion,test throw median,num_streamlines,baseline,pearson,5,balanced_accuracy,68.427,69.492,61.702,75.152,48.364,46.809,32.432,44.636
57,SVC,Extraversion,test throw median,num_streamlines,baseline,pearson,10,balanced_accuracy,58.297,61.017,30.303,58.326,56.0,53.191,21.429,56.0
58,SVC,Extraversion,test throw median,num_streamlines,baseline,pearson,50,balanced_accuracy,58.297,61.017,30.303,58.326,56.0,53.191,21.429,56.0
59,SVC,Extraversion,test throw median,num_streamlines,baseline,pearson,100,balanced_accuracy,58.297,61.017,30.303,58.326,56.0,53.191,21.429,56.0
60,SVC,Extraversion,test throw median,num_streamlines,baseline,t_test,2,balanced_accuracy,100.0,100.0,100.0,0.0,50.0,46.809,0.0,50.909
61,SVC,Extraversion,test throw median,num_streamlines,baseline,t_test,5,balanced_accuracy,100.0,100.0,100.0,0.0,50.0,46.809,0.0,50.909
62,SVC,Extraversion,test throw median,num_streamlines,baseline,t_test,10,balanced_accuracy,100.0,100.0,100.0,0.0,50.0,46.809,0.0,51.0
63,SVC,Extraversion,test throw median,num_streamlines,baseline,t_test,50,balanced_accuracy,100.0,100.0,100.0,0.0,50.0,46.809,0.0,50.909
64,SVC,Extraversion,test throw median,num_streamlines,baseline,t_test,100,balanced_accuracy,100.0,100.0,100.0,0.0,50.0,46.809,0.0,50.909
65,SVC,Extraversion,test throw median,mean_FA,baseline,t_test,2,balanced_accuracy,100.0,100.0,100.0,0.0,47.727,44.681,0.0,54.909
66,SVC,Extraversion,test throw median,mean_FA,baseline,t_test,5,balanced_accuracy,100.0,100.0,100.0,0.0,47.727,44.681,0.0,55.0
67,SVC,Extraversion,test throw median,mean_FA,baseline,t_test,10,balanced_accuracy,100.0,100.0,100.0,0.0,47.727,44.681,0.0,54.909
68,SVC,Extraversion,test throw median,mean_FA,baseline,t_test,50,balanced_accuracy,100.0,100.0,100.0,0.0,47.727,44.681,0.0,54.909
69,SVC,Extraversion,test throw median,mean_FA,baseline,t_test,100,balanced_accuracy,100.0,100.0,100.0,0.0,47.727,44.681,0.0,54.909
70,SVC,Neuroticism,test throw median,mean_strl,baseline,t_test,2,balanced_accuracy,69.907,70.339,66.667,69.936,49.415,48.98,46.809,54.515
